transaction_id,passenger_id,passenger_name,date,route,ticket_type,fare_paid_lkr,is_fraud,fraud_type,risk_score,risk_category,reason_for_flagging,suspected_fraud_type
TXN107055,PSG102756,Roshan Wijesekara,2024-01-01,Colombo Fort - Trincomalee,Full Fare,420,0,,31.8,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107054,PSG100151,Nimal Wijesekara,2024-01-01,Colombo Fort - Badulla,Full Fare,180,0,,20.4,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107056,PSG102716,Lasith Karunaratne,2024-01-01,Colombo Fort - Jaffna,Full Fare,180,0,,31.0,Low,Passenger has multiple prior fraud incidents,Unclassified
TXN107051,PSG102345,Nimal Fernando,2024-01-01,Colombo Fort - Matara,Student Concession,72,0,,20.8,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107052,PSG101330,Ravindu Kumara,2024-01-01,Colombo Fort - Jaffna,Season Ticket,210,0,,23.0,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107057,PSG100140,Dinesh Weerasinghe,2024-01-01,Colombo Fort - Matara,Full Fare,180,0,,10.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107053,PSG100370,Piyumi Kumara,2024-01-01,Colombo Fort - Jaffna,Season Ticket,90,0,,32.0,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107058,PSG102791,Hansika Fernando,2024-01-01,Colombo Fort - Badulla,Season Ticket,90,0,,13.4,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107059,PSG100928,Tharindu Senanayake,2024-01-01,Colombo Fort - Jaffna,Student Concession,72,0,,16.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107066,PSG102875,Yasas Bandara,2024-01-02,Colombo Fort - Vavuniya,Full Fare,180,0,,13.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107065,PSG102750,Gayan Bandara,2024-01-02,Kandy - Badulla (Upcountry local),Full Fare,180,0,,8.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107062,PSG100583,Nimal Dissanayake,2024-01-02,Maradana - Puttalam,Government Employee Concession,108,0,,24.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107063,PSG102641,Piyumi Kumara,2024-01-02,Colombo Fort - Batticaloa,Full Fare,420,0,,17.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107060,PSG101224,Malsha Jayawardena,2024-01-02,Colombo Fort - Matara,Full Fare,180,0,,7.4,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107064,PSG100054,Ishara Herath,2024-01-02,Colombo Fort - Negombo (Coastal Line local),Full Fare,180,0,,8.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107061,PSG101060,Malsha Rajapaksha,2024-01-02,Colombo Fort - Jaffna,Full Fare,180,0,,21.1,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107068,PSG101547,Roshan Kumara,2024-01-02,Colombo Fort - Anuradhapura,Full Fare,180,0,,23.1,Low,Passenger has multiple prior fraud incidents,Unclassified
TXN107067,PSG100272,Piyumi Fernando,2024-01-02,Colombo Fort - Anuradhapura,Senior Citizen Concession,90,0,,24.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107071,PSG101389,Tharindu Perera,2024-01-03,Colombo Fort - Kurunegala,Full Fare,180,0,,7.0,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107069,PSG102480,Tharindu Karunaratne,2024-01-03,Colombo Fort - Batticaloa,Full Fare,420,0,,18.4,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107070,PSG101171,Kavindi Herath,2024-01-03,Maradana - Puttalam,Student Concession,168,0,,19.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107073,PSG100732,Sanduni Silva,2024-01-03,Kandy - Badulla (Upcountry local),Full Fare,950,0,,44.6,Medium,Passenger has multiple prior fraud incidents,Unclassified
TXN107072,PSG100325,Ishara Ekanayake,2024-01-03,Colombo Fort - Batticaloa,Full Fare,180,0,,11.6,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107074,PSG102779,Nadeesha Silva,2024-01-04,Colombo Fort - Batticaloa,Full Fare,180,0,,11.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107077,PSG102171,Ishara Gunawardena,2024-01-04,Colombo Fort - Anuradhapura,Government Employee Concession,108,0,,22.1,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107075,PSG100733,Chathurika Dissanayake,2024-01-04,Colombo Fort - Badulla,Season Ticket,210,0,,21.4,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107078,PSG100733,Chathurika Dissanayake,2024-01-04,Colombo Fort - Vavuniya,Season Ticket,210,0,,17.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107076,PSG102578,Roshan Silva,2024-01-04,Colombo Fort - Vavuniya,Student Concession,72,1,Ticket Reuse,65.3,Medium,Ticket scanned multiple times (possible reuse),Ticket Reuse
TXN107082,PSG102214,Malsha Abeywardena,2024-01-05,Colombo Fort - Galle,Senior Citizen Concession,72,1,Abnormal Concession Usage,81.2,High,Fare paid does not match official concession rate; Irregular fare during off-peak/night hours,Abnormal Concession Usage
TXN107085,PSG100889,Lasith Ekanayake,2024-01-05,Colombo Fort - Matara,Season Ticket,210,0,,26.6,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107086,PSG101270,Dinesh Rajapaksha,2024-01-05,Colombo Fort - Jaffna,Season Ticket,90,0,,19.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107079,PSG101548,Chamara Wickramasinghe,2024-01-05,Colombo Fort - Anuradhapura,Government Employee Concession,252,0,,27.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107080,PSG103008,Lasith Fernando,2024-01-05,Colombo Fort - Ratnapura Line,Full Fare,420,0,,25.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107087,PSG101034,Lasith Rathnayake,2024-01-05,Colombo Fort - Ratnapura Line,Full Fare,420,0,,16.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107083,PSG103186,Gayan Herath,2024-01-05,Colombo Fort - Negombo (Coastal Line local),Full Fare,420,0,,36.3,Low,Passenger has multiple prior fraud incidents,Unclassified
TXN107081,PSG101946,Ravindu Bandara,2024-01-05,Colombo Fort - Anuradhapura,Full Fare,180,0,,22.8,Low,Passenger has multiple prior fraud incidents,Unclassified
TXN107084,PSG101979,Sunil Bandara,2024-01-05,Colombo Fort - Trincomalee,Full Fare,180,0,,21.3,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107093,PSG102348,Sunil Fernando,2024-01-06,Colombo Fort - Kandy,Season Ticket,210,0,,51.6,Medium,Passenger has multiple prior fraud incidents,Unclassified
TXN107094,PSG100032,Nuwan Wickramasinghe,2024-01-06,Colombo Fort - Negombo (Coastal Line local),Season Ticket,90,1,Suspicious Resale,69.3,High,Online booking with no assigned seat (possible resale),Suspicious Resale
TXN107091,PSG102732,Chamara Senanayake,2024-01-06,Colombo Fort - Negombo (Coastal Line local),Full Fare,180,0,,8.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107095,PSG100826,Kamal Senanayake,2024-01-06,Colombo Fort - Galle,Student Concession,72,0,,15.3,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107088,PSG101776,Gayan Herath,2024-01-06,Maradana - Puttalam,Full Fare,180,0,,12.1,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107090,PSG102727,Lasith Silva,2024-01-06,Colombo Fort - Batticaloa,Season Ticket,475,0,,32.5,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107096,PSG101101,Kamal Wickramasinghe,2024-01-06,Colombo Fort - Badulla,Full Fare,180,0,,27.1,Low,Passenger has multiple prior fraud incidents,Unclassified
TXN107092,PSG103044,Tharindu Herath,2024-01-06,Colombo Fort - Trincomalee,Full Fare,420,0,,33.6,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107089,PSG102644,Ashan Gunawardena,2024-01-06,Colombo Fort - Trincomalee,Student Concession,285,1,Abnormal Concession Usage,94.5,High,Fare paid does not match official concession rate; Irregular fare during off-peak/night hours,Abnormal Concession Usage
TXN107100,PSG102254,Ashan Rajapaksha,2024-01-07,Colombo Fort - Anuradhapura,Senior Citizen Concession,90,0,,30.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107098,PSG101980,Gayan Wijesekara,2024-01-07,Colombo Fort - Galle,Full Fare,420,0,,17.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107102,PSG100547,Lasith Fernando,2024-01-07,Colombo Fort - Anuradhapura,Full Fare,180,0,,17.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107097,PSG102546,Kamal Rajapaksha,2024-01-07,Colombo Fort - Kandy,Full Fare,180,0,,19.2,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107099,PSG102277,Hansika Bandara,2024-01-07,Colombo Fort - Jaffna,Full Fare,180,0,,45.0,Medium,Passenger has multiple prior fraud incidents,Unclassified
TXN107101,PSG102974,Gayan Karunaratne,2024-01-07,Colombo Fort - Kandy,Season Ticket,210,0,,53.9,Medium,Passenger has multiple prior fraud incidents,Unclassified
TXN107108,PSG101729,Sanduni Dissanayake,2024-01-08,Colombo Fort - Jaffna,Full Fare,180,0,,27.0,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107107,PSG101802,Roshan Silva,2024-01-08,Colombo Fort - Matara,Student Concession,72,0,,17.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107112,PSG100369,Sachini Wijesekara,2024-01-08,Colombo Fort - Jaffna,Student Concession,72,0,,16.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107104,PSG101588,Dilani Gunawardena,2024-01-08,Colombo Fort - Trincomalee,Full Fare,420,0,,20.4,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107113,PSG102384,Saman Perera,2024-01-08,Colombo Fort - Negombo (Coastal Line local),Season Ticket,210,0,,25.7,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107103,PSG100585,Dilani Amarasinghe,2024-01-08,Colombo Fort - Ratnapura Line,Full Fare,180,0,,7.9,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
TXN107106,PSG100421,Roshan Perera,2024-01-08,Colombo Fort - Kandy,Full Fare,180,0,,8.6,Low,No strong rule triggered — flagged by model anomaly score only,Unclassified
