transaction_id,passenger_id,passenger_name,date,time,day_of_week,route,travel_class,ticket_type,standard_fare_lkr,fare_paid_lkr,payment_method,booking_channel,seat_number,ticket_scan_count,inspection_status,is_fraud,fraud_type
TXN100005,PSG100073,Kamal Bandara,2020-01-01T00:00:00,07:37,Wednesday,Maradana - Puttalam,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Inspected,0,None
TXN100002,PSG102652,Ashan de Zoysa,2020-01-01T00:00:00,08:12,Wednesday,Colombo Fort - Batticaloa,3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Not Inspected,0,None
TXN100004,PSG101957,Malsha Fernando,2020-01-01T00:00:00,08:43,Wednesday,Colombo Fort - Vavuniya,3rd Class,Full Fare,180,180,Online,Online,118.0,1,Not Inspected,0,None
TXN100001,PSG102132,Sithumini Rajapaksha,2020-01-01T00:00:00,09:39,Wednesday,Colombo Fort - Batticaloa,3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Not Inspected,0,None
TXN100003,PSG100387,Sanduni Rajapaksha,2020-01-01T00:00:00,15:05,Wednesday,Colombo Fort - Vavuniya,2nd Class,Full Fare,420,420,Cash,Station Counter,,1,Not Inspected,0,None
TXN100006,PSG100481,Sanduni Bandara,2020-01-01T00:00:00,17:37,Wednesday,Colombo Fort - Matara,2nd Class,Senior Citizen Concession,420,210,Cash,Station Counter,,1,Not Inspected,0,None
TXN100009,PSG102584,Kasun Perera,2020-01-02T00:00:00,11:28,Thursday,Colombo Fort - Kandy,2nd Class,Senior Citizen Concession,420,210,Cash,Station Counter,,1,Not Inspected,0,None
TXN100012,PSG100295,Piyumi Abeywardena,2020-01-02T00:00:00,12:27,Thursday,Colombo Fort - Matara,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Inspected,0,None
TXN100007,PSG100162,Chaminda Bandara,2020-01-02T00:00:00,12:43,Thursday,Colombo Fort - Matara,2nd Class,Full Fare,420,420,Cash,Station Counter,,1,Not Inspected,0,None
TXN100010,PSG100254,Dinesh Bandara,2020-01-02T00:00:00,12:51,Thursday,Colombo Fort - Vavuniya,2nd Class,Student Concession,420,168,Online,Station Counter,,1,Not Inspected,0,None
TXN100008,PSG101141,Lasith Kumara,2020-01-02T00:00:00,13:51,Thursday,Colombo Fort - Batticaloa,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100011,PSG100224,Nadeesha Gunawardena,2020-01-02T00:00:00,14:41,Thursday,Colombo Fort - Galle,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Inspected,0,None
TXN100013,PSG101277,Chaminda Silva,2020-01-03T00:00:00,10:32,Friday,Colombo Fort - Kurunegala,3rd Class,Government Employee Concession,180,108,Cash,Station Counter,,1,Not Inspected,0,None
TXN100014,PSG102988,Roshan Jayawardena,2020-01-03T00:00:00,10:39,Friday,Maradana - Puttalam,2nd Class,Student Concession,420,168,Cash,Station Counter,,1,Not Inspected,0,None
TXN100015,PSG102254,Ashan Rajapaksha,2020-01-03T00:00:00,14:04,Friday,Colombo Fort - Kurunegala,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100016,PSG102152,Anushka Kumara,2020-01-03T00:00:00,17:01,Friday,Colombo Fort - Kandy,3rd Class,Full Fare,180,180,Online,Online,71.0,1,Not Inspected,0,None
TXN100018,PSG101288,Dinesh Weerasinghe,2020-01-04T00:00:00,11:20,Saturday,Maradana - Puttalam,1st Class,Student Concession,950,380,Online,Online,299.0,1,Inspected,0,None
TXN100017,PSG101893,Chamara Perera,2020-01-04T00:00:00,16:33,Saturday,Colombo Fort - Kurunegala,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Inspected,0,None
TXN100019,PSG102835,Kasun Amarasinghe,2020-01-04T00:00:00,18:23,Saturday,Colombo Fort - Batticaloa,3rd Class,Full Fare,180,180,Online,Online,71.0,1,Inspected,0,None
TXN100020,PSG102476,Malsha Silva,2020-01-05T00:00:00,05:27,Sunday,Kandy - Badulla (Upcountry local),2nd Class,Season Ticket,420,210,Cash,Station Counter,,1,Not Inspected,0,None
TXN100022,PSG103021,Kasun Herath,2020-01-05T00:00:00,07:55,Sunday,Colombo Fort - Batticaloa,1st Class,Full Fare,950,950,Cash,Station Counter,,1,Not Inspected,0,None
TXN100021,PSG101636,Chathurika Rathnayake,2020-01-05T00:00:00,10:27,Sunday,Colombo Fort - Kandy,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100023,PSG102196,Nimal Fernando,2020-01-06T00:00:00,08:05,Monday,Colombo Fort - Batticaloa,2nd Class,Student Concession,420,168,Cash,Station Counter,,1,Inspected,0,None
TXN100024,PSG100681,Kasun Bandara,2020-01-06T00:00:00,12:02,Monday,Colombo Fort - Anuradhapura,3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Inspected,0,None
TXN100028,PSG100067,Malsha Wickramasinghe,2020-01-07T00:00:00,09:51,Tuesday,Colombo Fort - Galle,3rd Class,Senior Citizen Concession,180,90,Online,Station Counter,,1,Not Inspected,0,None
TXN100027,PSG100579,Tharindu Wickramasinghe,2020-01-07T00:00:00,11:20,Tuesday,Colombo Fort - Galle,1st Class,Season Ticket,950,475,Cash,Station Counter,,1,Not Inspected,0,None
TXN100025,PSG100100,Kasun Abeywardena,2020-01-07T00:00:00,17:04,Tuesday,Colombo Fort - Anuradhapura,1st Class,Season Ticket,950,475,Online,Online,79.0,1,Not Inspected,0,None
TXN100029,PSG101209,Dinesh Rathnayake,2020-01-07T00:00:00,18:01,Tuesday,Colombo Fort - Jaffna,2nd Class,Full Fare,420,420,Online,Online,337.0,1,Inspected,0,None
TXN100026,PSG100565,Nuwan Ekanayake,2020-01-07T00:00:00,18:35,Tuesday,Colombo Fort - Trincomalee,3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Inspected,0,None
TXN100030,PSG100705,Kamal Senanayake,2020-01-08T00:00:00,08:20,Wednesday,Maradana - Puttalam,2nd Class,Full Fare,420,420,Cash,Station Counter,,1,Not Inspected,0,None
TXN100032,PSG102212,Lasith Wijesekara,2020-01-08T00:00:00,10:23,Wednesday,Colombo Fort - Galle,2nd Class,Full Fare,420,420,Cash,Station Counter,,1,Not Inspected,0,None
TXN100031,PSG103041,Ashan Abeywardena,2020-01-08T00:00:00,14:14,Wednesday,Colombo Fort - Anuradhapura,2nd Class,Full Fare,420,420,Online,Station Counter,,1,Not Inspected,0,None
TXN100033,PSG101528,Piyumi Silva,2020-01-08T00:00:00,14:35,Wednesday,Colombo Fort - Galle,3rd Class,Full Fare,180,180,Online,Online,377.0,1,Not Inspected,0,None
TXN100039,PSG100415,Ashan Bandara,2020-01-09T00:00:00,07:01,Thursday,Colombo Fort - Negombo (Coastal Line local),3rd Class,Senior Citizen Concession,180,90,Cash,Station Counter,,1,Not Inspected,0,None
TXN100035,PSG100478,Nuwan Amarasinghe,2020-01-09T00:00:00,08:34,Thursday,Colombo Fort - Galle,3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Inspected,0,None
TXN100038,PSG100001,Chathurika Rathnayake,2020-01-09T00:00:00,12:35,Thursday,Kandy - Badulla (Upcountry local),3rd Class,Full Fare,180,180,Online,Online,142.0,1,Inspected,0,None
TXN100037,PSG101910,Saman Perera,2020-01-09T00:00:00,12:56,Thursday,Colombo Fort - Anuradhapura,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100034,PSG100729,Ashan Karunaratne,2020-01-09T00:00:00,15:01,Thursday,Colombo Fort - Badulla,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Inspected,0,None
TXN100040,PSG101751,Lasith Bandara,2020-01-09T00:00:00,17:18,Thursday,Colombo Fort - Negombo (Coastal Line local),3rd Class,Full Fare,180,180,Online,Station Counter,,1,Not Inspected,0,None
TXN100036,PSG102381,Sunil Bandara,2020-01-09T00:00:00,17:54,Thursday,Colombo Fort - Anuradhapura,2nd Class,Student Concession,420,168,Online,Online,312.0,1,Not Inspected,0,None
TXN100043,PSG102861,Anushka Karunaratne,2020-01-10T00:00:00,05:06,Friday,Kandy - Badulla (Upcountry local),2nd Class,Full Fare,420,420,Online,Online,95.0,4,Not Inspected,1,Ticket Reuse
TXN100041,PSG102347,Hansika de Zoysa,2020-01-10T00:00:00,07:01,Friday,Kandy - Badulla (Upcountry local),2nd Class,Government Employee Concession,420,252,Cash,Station Counter,,1,Inspected,0,None
TXN100045,PSG100434,Ravindu Perera,2020-01-10T00:00:00,13:00,Friday,Colombo Fort - Negombo (Coastal Line local),3rd Class,Full Fare,180,180,Online,Station Counter,,1,Not Inspected,0,None
TXN100042,PSG102951,Sunil Kumara,2020-01-10T00:00:00,13:49,Friday,Colombo Fort - Matara,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Inspected,0,None
TXN100044,PSG101358,Ravindu Ekanayake,2020-01-10T00:00:00,20:36,Friday,Colombo Fort - Kandy,3rd Class,Season Ticket,180,90,Online,Online,389.0,1,Not Inspected,0,None
TXN100049,PSG101493,Sachini Kumara,2020-01-11T00:00:00,12:06,Saturday,Colombo Fort - Matara,3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Not Inspected,0,None
TXN100046,PSG101151,Sithumini Wijesekara,2020-01-11T00:00:00,12:27,Saturday,Colombo Fort - Ratnapura Line,2nd Class,Full Fare,420,420,Cash,Station Counter,,1,Not Inspected,0,None
TXN100048,PSG100968,Tharindu Senanayake,2020-01-11T00:00:00,17:01,Saturday,Colombo Fort - Ratnapura Line,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100047,PSG101273,Malsha Senanayake,2020-01-11T00:00:00,18:13,Saturday,Colombo Fort - Galle,3rd Class,Season Ticket,180,90,Online,Station Counter,,1,Not Inspected,0,None
TXN100050,PSG101436,Piyumi Bandara,2020-01-12T00:00:00,08:31,Sunday,Colombo Fort - Anuradhapura,3rd Class,Full Fare,180,180,Cash,Station Counter,,1,Not Inspected,0,None
TXN100053,PSG101408,Anushka Wijesekara,2020-01-12T00:00:00,09:21,Sunday,Colombo Fort - Negombo (Coastal Line local),3rd Class,Full Fare,180,180,Online,Online,282.0,1,Inspected,0,None
TXN100052,PSG101272,Piyumi Dissanayake,2020-01-12T00:00:00,10:05,Sunday,Colombo Fort - Badulla,2nd Class,Disability Concession,420,126,Online,Online,10.0,1,Not Inspected,0,None
TXN100051,PSG100882,Sithumini Abeywardena,2020-01-12T00:00:00,12:40,Sunday,Colombo Fort - Kurunegala,3rd Class,Full Fare,180,180,Online,Online,190.0,1,Not Inspected,0,None
TXN100056,PSG102714,Nimal Wijesekara,2020-01-13T00:00:00,10:19,Monday,Colombo Fort - Jaffna,3rd Class,Season Ticket,180,90,Cash,Station Counter,,1,Inspected,0,None
TXN100055,PSG100234,Chamara Abeywardena,2020-01-13T00:00:00,11:38,Monday,Colombo Fort - Trincomalee,2nd Class,Full Fare,420,420,Cash,Station Counter,,1,Not Inspected,0,None
TXN100054,PSG102345,Nimal Fernando,2020-01-13T00:00:00,14:29,Monday,Colombo Fort - Kandy,3rd Class,Student Concession,180,72,Cash,Station Counter,,1,Not Inspected,0,None
TXN100061,PSG100620,Nadeesha Kumara,2020-01-14T00:00:00,05:12,Tuesday,Colombo Fort - Negombo (Coastal Line local),3rd Class,Full Fare,180,180,Online,Station Counter,,1,Not Inspected,0,None
